epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.8936,0.93747,3.90077,1.26487,0.65622,0.05067,0.06602,0.05177,0.85371,3.42778,1.18107,0.0672245,0.000331066,0.000331066
2,140.167,0.88644,3.46541,1.19613,0.34655,0.29378,0.18878,0.14796,0.85245,2.82139,1.16567,0.0342179,0.000657822,0.000657822
3,192.202,0.90298,2.93559,1.18854,0.32727,0.48591,0.40624,0.31404,0.85115,2.13066,1.17773,0.00120473,0.000977977,0.000977977
4,253.383,0.89638,2.37444,1.18614,0.52855,0.62871,0.57783,0.44329,0.85091,1.77025,1.19252,0.0009703,0.0009703,0.0009703
5,315.541,0.88486,2.0107,1.1718,0.6392,0.72243,0.69695,0.54534,0.80626,1.46268,1.14663,0.0009604,0.0009604,0.0009604
6,368.156,0.86031,1.79745,1.16292,0.6839,0.74491,0.73981,0.57744,0.80656,1.37494,1.13704,0.0009505,0.0009505,0.0009505
7,426.538,0.85135,1.72448,1.1567,0.71038,0.76055,0.77618,0.60572,0.77291,1.28646,1.11263,0.0009406,0.0009406,0.0009406
8,479.266,0.83718,1.59095,1.14674,0.73445,0.78586,0.8083,0.63507,0.76202,1.22494,1.10533,0.0009307,0.0009307,0.0009307
9,531.944,0.83483,1.55447,1.14132,0.76161,0.7794,0.8218,0.64925,0.76411,1.15313,1.09639,0.0009208,0.0009208,0.0009208
10,583.524,0.82073,1.50188,1.13931,0.70819,0.80639,0.81419,0.64089,0.76262,1.15895,1.10325,0.0009109,0.0009109,0.0009109
11,635.455,0.80932,1.4341,1.12612,0.72723,0.80841,0.8267,0.65027,0.74859,1.16586,1.08722,0.000901,0.000901,0.000901
12,707.687,0.80237,1.43109,1.12893,0.79192,0.78386,0.83598,0.66945,0.7508,1.11101,1.09534,0.0008911,0.0008911,0.0008911
13,771.981,0.78997,1.38343,1.11881,0.80812,0.80626,0.86282,0.69095,0.72893,1.05264,1.06963,0.0008812,0.0008812,0.0008812
14,824.796,0.7994,1.35872,1.11146,0.82285,0.80459,0.86772,0.69721,0.72859,1.02662,1.07285,0.0008713,0.0008713,0.0008713
15,877.837,0.79212,1.33003,1.11374,0.79003,0.82807,0.86403,0.69169,0.73803,1.04951,1.08246,0.0008614,0.0008614,0.0008614
16,930.316,0.78566,1.30261,1.11418,0.81853,0.82987,0.8768,0.70871,0.73101,1.00104,1.07177,0.0008515,0.0008515,0.0008515
17,991.49,0.77345,1.24507,1.10492,0.83101,0.81126,0.8772,0.70718,0.72735,0.99457,1.073,0.0008416,0.0008416,0.0008416
18,1045,0.78499,1.26683,1.10483,0.82181,0.84806,0.88498,0.71576,0.72226,0.97756,1.06689,0.0008317,0.0008317,0.0008317
19,1098.38,0.7705,1.23804,1.10122,0.84256,0.81871,0.89191,0.72068,0.70664,0.97757,1.06097,0.0008218,0.0008218,0.0008218
20,1154.43,0.76965,1.20387,1.09388,0.85771,0.82286,0.89498,0.72631,0.70697,0.93616,1.05817,0.0008119,0.0008119,0.0008119
21,1219.51,0.77989,1.21537,1.0972,0.83403,0.86019,0.89707,0.73034,0.70586,0.91264,1.05503,0.000802,0.000802,0.000802
