epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4887,0.92214,3.95997,1.26421,0.00925,0.84872,0.06579,0.05177,0.83516,3.50412,1.18414,0.0672245,0.000331066,0.000331066
2,93.8275,0.89398,3.39041,1.22639,0.38352,0.33537,0.18307,0.14162,0.87985,2.74591,1.2626,0.0342179,0.000657822,0.000657822
3,133.544,0.92438,2.73794,1.24735,0.39569,0.56775,0.41933,0.31521,0.89081,2.03107,1.28753,0.00120473,0.000977977,0.000977977
4,173.876,0.90307,2.21252,1.23891,0.44698,0.65254,0.50614,0.38491,0.85632,1.77553,1.25757,0.0009703,0.0009703,0.0009703
5,214.142,0.88705,1.93652,1.21003,0.58006,0.67774,0.63706,0.48568,0.84,1.60855,1.23601,0.0009604,0.0009604,0.0009604
6,254.258,0.86554,1.81412,1.20138,0.6497,0.72032,0.72352,0.5575,0.82692,1.41771,1.21989,0.0009505,0.0009505,0.0009505
7,298.332,0.86085,1.73774,1.19796,0.62462,0.76107,0.74079,0.57145,0.81065,1.3553,1.20012,0.0009406,0.0009406,0.0009406
8,337.586,0.8539,1.61656,1.18776,0.67997,0.76999,0.76695,0.60203,0.79115,1.30782,1.17484,0.0009307,0.0009307,0.0009307
9,376.977,0.84464,1.57649,1.18291,0.72256,0.75834,0.78342,0.61452,0.79483,1.2428,1.18045,0.0009208,0.0009208,0.0009208
10,416.526,0.84002,1.53095,1.18724,0.71415,0.80079,0.80498,0.63004,0.78281,1.17136,1.1717,0.0009109,0.0009109,0.0009109
11,455.917,0.82218,1.46845,1.16272,0.74095,0.79106,0.82105,0.64567,0.77711,1.18154,1.16503,0.000901,0.000901,0.000901
12,495.86,0.82115,1.45542,1.17216,0.75422,0.78758,0.81741,0.6521,0.78034,1.16902,1.16813,0.0008911,0.0008911,0.0008911
13,535.356,0.80085,1.42672,1.15589,0.72618,0.81293,0.82443,0.65942,0.75212,1.11587,1.14294,0.0008812,0.0008812,0.0008812
14,574.923,0.81605,1.39874,1.15588,0.75696,0.81405,0.82929,0.66706,0.75959,1.09972,1.1499,0.0008713,0.0008713,0.0008713
15,614.219,0.80637,1.35672,1.15598,0.77886,0.80973,0.84352,0.66757,0.76054,1.09851,1.14858,0.0008614,0.0008614,0.0008614
16,653.406,0.79893,1.34109,1.15615,0.7895,0.79511,0.85446,0.68215,0.75295,1.04943,1.14335,0.0008515,0.0008515,0.0008515
17,693.196,0.78919,1.28035,1.14624,0.76817,0.82454,0.85884,0.69081,0.75275,1.04186,1.14133,0.0008416,0.0008416,0.0008416
18,732.697,0.79903,1.29687,1.1496,0.79912,0.80803,0.86087,0.68612,0.75373,1.03828,1.14083,0.0008317,0.0008317,0.0008317
19,771.666,0.78852,1.27856,1.14658,0.79712,0.8095,0.86599,0.69808,0.73685,1.02585,1.13447,0.0008218,0.0008218,0.0008218
20,810.648,0.77975,1.24399,1.13323,0.78837,0.81723,0.86613,0.69468,0.74023,1.05484,1.13351,0.0008119,0.0008119,0.0008119
21,849.84,0.79745,1.24847,1.14046,0.78986,0.81232,0.86784,0.70254,0.73132,0.99347,1.12716,0.000802,0.000802,0.000802
22,889.471,0.77548,1.23538,1.13736,0.79145,0.8372,0.88207,0.71069,0.73178,0.96533,1.12471,0.0007921,0.0007921,0.0007921
23,928.905,0.76423,1.18689,1.12872,0.78808,0.81968,0.87151,0.70759,0.7261,0.98248,1.1183,0.0007822,0.0007822,0.0007822
24,968.371,0.77163,1.17377,1.12905,0.80685,0.84765,0.88426,0.71463,0.72445,0.94835,1.11966,0.0007723,0.0007723,0.0007723
25,1007.78,0.77041,1.15854,1.12107,0.7976,0.81982,0.87462,0.70444,0.72944,0.97327,1.12368,0.0007624,0.0007624,0.0007624
26,1046.3,0.77489,1.15871,1.13417,0.8158,0.85381,0.8879,0.72018,0.71937,0.94039,1.12177,0.0007525,0.0007525,0.0007525
